System_ID,Battery_Voltage,RTC_Drift_sec_per_day,Boot_Errors_Count,CMOS_Warning_Flag,Reset_BIOS_Flag,Power_Cycle_Count,System_Age_Years,Ambient_Temperature_C,Failure_Label,Failure_Mode,Failure_Flag
SYS-0060,3.1,53,6,1,0,1299,0.8064958508731807,33.4,1,4,1
SYS-0061,2.51,0,3,0,0,2078,2.3,26.4,1,4,1
SYS-0062,3.3,118,2,0,0,2563,8.9,40.3,1,1,1
SYS-0063,3.13,85,3,1,1,1237,10.0,35.3,0,0,0
SYS-0064,2.83,16,0,1,0,566,2.7,37.2,0,0,0
SYS-0065,2.6,8,1,0,0,428,1.5,28.3,1,4,1
SYS-0066,3.17,82,3,0,1,1643,8.6,37.5,0,0,0
SYS-0067,2.86,82,0,1,0,813,9.2,35.9,0,0,0
SYS-0068,2.99,92,0,0,0,400,1.3,44.5,0,0,0
SYS-0069,2.84,14,0,0,0,1179,4.3,38.2,0,0,0
SYS-0070,2.94,161,2,0,0,1821,9.7,28.2,1,1,1
SYS-0071,3.3,6,0,1,0,2735,1.2,28.8,0,0,0
SYS-0072,2.83,53,1,0,0,2596,6.1,38.1,0,0,0
SYS-0073,2.71,76,1,0,0,274,2.1,27.9,0,0,0
SYS-0074,2.74,46,0,0,0,1309,10.0,29.4,0,0,0
SYS-0075,2.65,98,0,1,0,2965,8.8,24.4,1,1,1
SYS-0076,2.87,19,0,0,0,2365,6.1,28.0,0,0,0
SYS-0077,2.52,29,1,0,0,349,3.8,34.0,1,1,1
SYS-0078,2.9,92,0,0,0,829,2.9,42.4,0,0,0
SYS-0079,3.29,10,0,0,1,667,9.1,31.5,0,0,0
SYS-0080,3.09,84,0,0,0,1140,5.8,40.1,0,0,0
SYS-0081,3.21,103,0,0,0,2168,5.2,31.5,0,0,0
SYS-0082,2.88,161,4,1,1,814,5.555633333230434,29.8,1,4,1
SYS-0083,2.61,75,2,0,0,2822,4.5,39.1,1,1,1
SYS-0084,2.6,87,2,0,0,1741,2.2,25.5,1,1,1
SYS-0085,2.85,38,2,0,0,425,7.0,36.6,0,0,0
SYS-0086,2.72,110,2,0,1,2521,9.7,34.9,1,1,1
SYS-0087,2.73,101,1,0,0,1664,9.2,42.4,0,0,0
SYS-0088,2.92,46,0,0,1,1153,9.0,31.4,0,0,0
SYS-0089,3.01,113,5,1,0,1050,3.40003513736642,30.3,1,4,1
SYS-0090,2.87,20,3,1,1,2170,0.5830160231431503,30.4,1,4,1
SYS-0091,2.68,36,1,0,0,668,3.4,36.8,1,1,1
SYS-0092,2.24,12,2,0,0,1670,9.4,36.0,1,1,1
SYS-0093,2.95,25,1,1,0,1898,7.3,39.5,1,1,1
SYS-0094,2.64,98,1,0,0,459,10.135280286316963,30.4,1,1,1
SYS-0095,2.68,36,2,0,0,449,7.5,28.6,1,1,1
SYS-0096,2.55,85,0,1,0,1752,9.6,37.1,1,1,1
SYS-0097,3.3,8,4,0,0,1235,2.9,32.4,1,4,1
SYS-0098,3.0,61,2,0,0,2674,3.8,36.4,0,0,0
SYS-0099,3.15,4,0,0,0,476,6.9,31.1,0,0,0
SYS-0100,2.77,40,1,0,0,712,6.8,36.1,0,0,0
SYS-0101,3.14,50,0,0,0,1925,7.0,35.4,1,1,1
SYS-0102,2.91,65,3,0,1,863,3.6,34.2,1,4,1
SYS-0103,2.63,95,1,0,0,2456,3.4708238004352308,32.0,1,1,1
SYS-0104,3.27,106,1,0,0,2052,1.2,27.4,0,0,0
SYS-0105,2.78,96,0,0,0,1777,1.5,25.6,0,0,0
SYS-0106,2.67,45,0,0,0,702,2.1,22.0,1,1,1
SYS-0107,2.75,16,1,0,0,2758,9.9,37.0,1,1,1
SYS-0108,2.43,29,0,0,0,2574,3.5,25.8,1,1,1
SYS-0109,3.01,47,0,0,0,704,5.5,43.6,0,0,0
SYS-0110,2.86,67,0,1,0,2669,6.6,43.9,0,0,0
SYS-0111,2.91,71,0,0,0,1144,7.0,39.9,0,0,0
SYS-0112,2.84,101,1,0,0,1967,8.3,31.3,1,1,1
SYS-0113,3.05,23,0,0,0,2320,6.8,30.4,0,0,0
SYS-0114,3.0,31,0,1,1,794,3.7,30.0,0,0,0
SYS-0115,2.56,107,0,0,0,1554,2.4,31.7,1,1,1
SYS-0116,2.71,48,1,0,0,2342,9.6,31.1,1,1,1
SYS-0117,3.3,61,2,0,0,1004,4.5,37.1,0,0,0
SYS-0118,2.71,92,1,0,0,439,2.6,23.5,0,0,0
SYS-0119,2.92,0,0,0,0,2712,2.5,29.2,0,0,0
SYS-0120,2.97,107,1,0,0,1228,2.8,29.8,0,0,0
SYS-0121,3.0,51,3,1,0,200,4.9,38.3,0,0,0
SYS-0122,3.0,30,2,0,0,297,8.4,34.1,0,0,0
SYS-0123,2.47,31,0,0,0,2882,6.5,42.2,1,1,1
SYS-0124,2.75,11,3,0,0,1610,6.3,26.5,0,0,0
SYS-0125,3.0,39,2,0,0,1934,7.9,30.7,0,0,0
SYS-0126,3.17,44,2,1,0,2946,1.4,32.0,0,0,0
SYS-0127,3.21,105,6,0,0,1631,1.1342865795820767,34.3,1,4,1
SYS-0128,3.01,117,4,0,0,1117,9.8,33.4,0,0,0
SYS-0129,2.75,13,0,0,0,1414,9.4,33.1,0,0,0
SYS-0130,2.91,129,2,1,0,2041,7.2,32.0,1,4,1
SYS-0131,2.72,1,2,0,0,1779,6.7,29.9,0,0,0
SYS-0132,3.3,65,3,0,0,2530,3.3,32.5,1,4,1
SYS-0133,3.01,74,2,0,0,2171,9.5,25.5,1,1,1
SYS-0134,3.05,125,0,0,0,1050,2.7,27.4,0,0,0
SYS-0135,2.83,101,1,0,0,2777,4.4,33.3,0,0,0
SYS-0136,2.91,11,0,0,0,2066,2.7,25.5,0,0,0
SYS-0137,2.75,79,0,0,0,1051,3.2,45.0,0,0,0
SYS-0138,2.68,7,1,0,0,539,5.3,31.5,1,1,1
SYS-0139,2.65,13,0,0,0,1692,4.791369755511528,33.2,1,1,1
SYS-0140,3.3,40,0,0,1,675,3.3,34.5,0,0,0
SYS-0141,2.81,136,3,1,0,508,0.4347248525747158,27.5,1,4,1
SYS-0142,2.87,62,2,0,0,1248,1.8,26.5,0,0,0
SYS-0143,2.88,66,2,0,0,2418,2.0,34.1,0,0,0
SYS-0144,2.79,123,1,0,1,933,9.2,26.7,0,0,0
SYS-0145,3.3,56,0,0,0,217,4.8,39.2,0,0,0
SYS-0146,3.29,4,0,0,0,1840,8.9,26.5,0,0,0
SYS-0147,2.64,79,1,0,0,2614,7.9,31.3,1,1,1
SYS-0148,2.64,50,3,1,1,405,0.3,33.0,1,4,1
SYS-0149,2.36,22,3,0,1,2607,8.9,30.9,1,1,1
SYS-0150,3.3,68,0,0,0,2056,6.9,37.3,0,0,0
SYS-0151,2.46,20,3,0,0,679,0.3,32.8,1,4,1
SYS-0152,2.81,107,1,0,0,2495,2.7,33.5,0,0,0
SYS-0153,2.94,26,2,0,1,1807,4.4,36.1,0,0,0
SYS-0154,3.25,72,1,0,0,937,8.3,28.0,0,0,0
SYS-0155,2.73,67,2,0,0,540,6.9,29.6,0,0,0
SYS-0156,2.95,59,1,0,0,213,4.3,31.6,0,0,0
SYS-0157,3.29,86,0,0,0,1735,1.7,27.5,0,0,0
SYS-0158,2.86,59,1,1,1,1268,9.5,31.9,0,0,0
SYS-0159,3.18,159,1,0,0,2717,5.0,35.5,0,0,0
SYS-0160,2.91,119,1,0,0,2769,3.7,38.5,0,0,0
SYS-0161,3.12,110,1,0,0,1826,9.0,20.7,1,1,1
SYS-0162,3.21,50,0,0,0,1931,5.7,31.8,0,0,0
SYS-0163,3.15,35,3,0,0,2596,9.8,32.6,0,0,0
SYS-0164,2.93,42,1,0,0,540,5.9,16.7,0,0,0
SYS-0165,2.85,75,1,0,0,432,1.4,33.5,0,0,0
SYS-0166,3.11,60,1,0,0,787,5.2,35.3,0,0,0
SYS-0167,3.16,46,1,1,0,2125,6.9,18.4,0,0,0
SYS-0168,2.74,78,1,0,0,2565,4.1,36.0,0,0,0
SYS-0169,2.68,77,1,0,0,353,1.9,34.7,1,4,1
SYS-0170,3.02,20,3,1,0,2440,1.60302550715121,30.5,1,4,1
SYS-0171,2.96,79,2,1,0,809,8.5,31.8,0,0,0
SYS-0172,2.88,20,4,0,0,2533,0.3,24.1,1,4,1
SYS-0173,3.3,36,1,1,0,2374,4.2,33.2,0,0,0
SYS-0174,2.55,92,1,1,1,2080,7.964348822202796,34.2,1,1,1
SYS-0175,2.83,9,1,0,0,3120,7.706571460785882,42.1,1,1,1
SYS-0176,3.11,52,0,0,0,2096,8.1,30.3,0,0,0
SYS-0177,2.85,60,4,1,0,1719,0.9894608934304221,18.4,1,4,1
SYS-0178,2.86,63,7,1,0,1140,1.7819149319797352,35.7,1,4,1
SYS-0179,3.03,63,0,0,0,469,4.8,34.0,0,0,0
SYS-0180,2.61,108,1,0,0,2977,3.280124233625126,33.0,1,1,1
SYS-0181,2.93,30,6,0,0,319,2.038155655795981,35.5,1,4,1
SYS-0182,2.79,52,0,0,0,2015,8.2,27.1,0,0,0
SYS-0183,2.89,43,1,0,0,2951,5.2,32.2,0,0,0
SYS-0184,2.96,45,0,0,0,1744,4.9,41.2,0,0,0
SYS-0185,2.96,25,2,0,1,793,10.0,29.3,0,0,0
SYS-0186,2.89,73,1,0,0,2437,6.6,35.1,0,0,0
SYS-0187,2.86,83,0,0,1,344,5.3,30.2,0,0,0
SYS-0188,3.12,51,2,0,0,775,1.8,28.9,0,0,0
SYS-0189,2.81,73,2,0,0,2238,9.5,39.8,1,1,1
SYS-0190,3.05,86,2,0,1,1397,3.1,30.6,0,0,0
SYS-0191,2.7,93,3,0,0,1933,8.3,33.2,1,1,1
SYS-0192,3.09,0,1,1,0,781,1.9,33.7,0,0,0
SYS-0193,3.14,47,0,0,0,2787,4.6,31.3,0,0,0
SYS-0194,3.15,161,6,1,0,1470,3.701437172668365,32.4,1,4,1
SYS-0195,2.88,9,3,0,0,942,2.3,32.7,1,4,1
SYS-0196,3.2,86,2,0,0,2260,5.2,35.0,0,0,0
SYS-0197,3.12,45,6,0,0,2740,0.8751560506872262,29.6,1,4,1
SYS-0198,2.84,60,5,0,0,2847,2.859388332122612,27.9,1,4,1
SYS-0199,2.56,98,0,0,0,2085,8.571212868035282,35.4,1,1,1
SYS-0200,2.79,2,2,0,0,2646,3.6,34.3,0,0,0
SYS-0201,3.3,37,2,0,0,1456,8.6,41.2,0,0,0
SYS-0202,3.3,35,0,0,0,2109,3.4,28.4,0,0,0
SYS-0203,2.84,75,2,0,0,2786,7.2,36.3,1,1,1
SYS-0204,2.9,11,0,0,0,2979,1.7,28.3,0,0,0
SYS-0205,2.57,154,3,0,0,530,7.3,30.1,1,1,1
SYS-0206,2.85,7,3,0,0,645,1.2,21.0,1,4,1
SYS-0207,3.28,135,4,1,0,2911,6.0,37.0,1,4,1
SYS-0208,2.77,69,1,0,0,1687,8.2,33.5,0,0,0
SYS-0209,2.53,124,1,0,0,818,9.0,20.6,1,1,1
SYS-0210,2.94,52,2,0,0,2027,9.5,31.4,0,0,0
SYS-0211,3.3,64,2,0,0,921,4.7,28.5,0,0,0
SYS-0212,3.3,34,0,0,0,2163,4.1,27.4,0,0,0
SYS-0213,3.15,39,0,0,0,1414,1.6,27.3,0,0,0
SYS-0214,2.72,88,1,0,0,1027,7.7,31.2,0,0,0
SYS-0215,3.3,73,4,0,0,437,1.3600165387374656,41.3,1,4,1
SYS-0216,2.93,27,5,0,0,2587,1.2,39.5,1,4,1
SYS-0217,2.98,57,4,0,1,1223,0.8823495550041778,40.4,1,4,1
SYS-0218,3.04,20,8,0,0,1865,3.454138814567178,32.6,1,4,1
SYS-0219,2.73,49,0,0,0,2450,4.7,22.6,0,0,0
SYS-0220,2.64,94,0,0,0,479,9.6,30.4,1,1,1
SYS-0221,2.91,75,7,1,1,863,2.6258522452522746,34.2,1,4,1
SYS-0222,2.87,28,0,0,1,1561,1.9,29.8,0,0,0
SYS-0223,3.2,96,3,0,0,2193,2.4,41.8,1,4,1
SYS-0224,3.12,67,2,1,0,2673,4.8,38.1,0,0,0
SYS-0225,3.08,37,0,0,0,1786,4.7,38.5,0,0,0
SYS-0226,2.9,101,0,0,0,2734,5.7,35.7,0,0,0
SYS-0227,3.24,3,1,1,0,2525,1.6,29.2,0,0,0
SYS-0228,3.08,90,2,0,0,1417,6.4,32.6,0,0,0
SYS-0229,2.62,38,1,0,0,3165,5.916084944813128,29.3,1,1,1
SYS-0230,2.91,75,4,0,0,1919,3.3,21.3,1,4,1
SYS-0231,3.28,121,6,0,0,2073,1.4,35.0,1,4,1
SYS-0232,2.66,47,5,0,1,2710,0.6635076721636706,27.2,1,4,1
SYS-0233,2.8,22,1,0,0,386,8.8,33.6,0,0,0
SYS-0234,3.12,73,3,0,0,3135,7.888888651450614,34.5,1,1,1
SYS-0235,3.22,107,1,0,1,2710,2.5,25.2,0,0,0
SYS-0236,3.1,13,0,0,0,2262,2.3,28.7,0,0,0
SYS-0237,3.3,18,1,0,0,2989,1.6,29.9,0,0,0
SYS-0238,2.78,15,3,0,0,2020,7.9,38.9,1,1,1
SYS-0239,2.67,147,7,1,0,2955,1.8303213593614065,21.1,1,4,1
SYS-0240,3.04,99,0,0,0,1065,3.1,32.7,0,0,0
SYS-0241,3.06,137,2,0,0,2732,9.6,34.2,1,1,1
SYS-0242,3.3,48,2,0,1,2125,5.2,27.3,0,0,0
SYS-0243,3.03,65,0,0,0,2939,7.8,28.6,0,0,0
SYS-0244,2.68,33,0,0,1,2396,1.5,32.6,1,1,1
SYS-0245,3.02,89,0,1,0,489,4.6,28.9,0,0,0
SYS-0246,3.25,138,2,0,0,1336,3.5,31.6,1,1,1
SYS-0247,3.09,99,0,0,0,2230,6.4,39.8,0,0,0
SYS-0248,3.11,69,2,0,0,1783,5.6,31.3,0,0,0
SYS-0249,3.05,14,3,0,0,2227,6.0,24.1,0,0,0
SYS-0250,2.76,9,0,0,0,2255,9.2,36.0,1,1,1
SYS-0251,2.7,99,0,0,1,890,3.3,26.2,0,0,0
SYS-0252,3.24,1,4,0,0,2022,5.2,28.5,0,0,0
SYS-0253,3.01,43,2,0,0,1687,9.1,43.3,0,0,0
SYS-0254,3.1,65,1,1,1,2047,4.5,34.1,0,0,0
SYS-0255,2.53,53,1,0,0,2404,2.3,30.6,1,1,1
SYS-0256,2.97,73,0,0,1,702,4.4,29.9,0,0,0
SYS-0257,2.91,56,2,0,0,663,4.3,29.3,0,0,0
SYS-0258,2.46,58,0,0,1,805,4.4,24.0,1,1,1
SYS-0259,3.08,141,6,1,0,1620,5.151192823511115,35.7,1,4,1
SYS-0260,3.29,126,0,0,0,2757,3.6,29.0,0,0,0
SYS-0261,2.62,99,1,0,0,920,8.4,31.4,1,1,1
SYS-0262,2.7,22,1,0,0,224,6.9,27.9,0,0,0
SYS-0263,2.98,87,0,0,0,406,6.6,36.5,0,0,0
SYS-0264,3.17,57,8,1,0,1232,2.9963134641871756,26.8,1,4,1
SYS-0265,3.02,82,4,1,0,2762,1.7677647640119902,23.2,1,4,1
SYS-0266,2.81,57,3,0,0,2294,4.2,31.6,0,0,0
SYS-0267,3.26,108,1,1,0,2649,8.9,38.1,1,1,1
SYS-0268,2.75,68,0,0,1,990,9.0,30.9,0,0,0
SYS-0269,3.07,95,1,0,0,270,3.1,36.0,0,0,0
SYS-0270,2.82,90,2,0,0,2194,6.3,35.6,0,0,0
SYS-0271,2.72,130,0,0,0,299,7.0,34.0,0,0,0
SYS-0272,3.21,104,1,0,0,2827,2.0,33.7,0,0,0
SYS-0273,3.0,40,7,0,1,1831,0.7825343342660471,36.1,1,4,1
SYS-0274,2.8,31,6,0,1,620,0.7994644777745288,26.2,1,4,1
SYS-0275,2.99,102,3,1,0,1329,6.0,31.9,1,4,1
SYS-0276,3.14,75,0,0,0,2864,1.8,32.9,0,0,0
SYS-0277,3.1,78,1,0,0,1377,6.5,30.8,0,0,0
SYS-0278,3.15,64,2,1,0,2435,8.3,27.0,0,0,0
SYS-0279,3.3,89,1,0,1,987,8.6,29.4,0,0,0
SYS-0280,3.09,17,1,0,0,1824,2.4,33.6,0,0,0
SYS-0281,2.72,50,1,0,0,1077,4.7,30.3,0,0,0
SYS-0282,2.54,88,0,0,0,2261,6.5,29.3,1,1,1
SYS-0283,2.95,41,2,0,0,1688,7.1,27.0,0,0,0
SYS-0284,3.03,28,1,0,0,1775,4.7,30.8,0,0,0
SYS-0285,2.69,30,5,1,1,386,1.0327741951780638,27.2,1,4,1
SYS-0286,3.27,90,9,1,0,1335,5.9202004407049085,32.6,1,4,1
SYS-0287,3.04,107,0,0,0,564,8.6,24.2,0,0,0
SYS-0288,3.05,16,0,0,0,1271,3.3,40.4,0,0,0
SYS-0289,3.3,56,3,1,0,907,0.968299199949495,27.1,1,4,1
SYS-0290,3.0,108,2,0,0,1010,6.3,42.6,0,0,0
SYS-0291,3.01,37,2,0,0,2548,2.9,41.7,0,0,0
SYS-0292,2.88,16,1,0,0,2250,5.9,32.8,0,0,0
SYS-0293,3.0,73,5,1,0,1547,2.1599088382852307,29.0,1,4,1
SYS-0294,2.61,88,0,0,0,809,4.5,30.5,1,1,1
SYS-0295,2.69,48,0,0,0,2241,5.3,42.1,1,1,1
SYS-0296,2.87,110,3,0,0,2701,9.4,26.7,1,1,1
SYS-0297,2.9,30,0,0,0,1898,1.4,27.8,0,0,0
SYS-0298,2.78,89,2,0,0,1778,6.6,42.3,0,0,0
SYS-0299,2.84,44,1,0,0,423,9.5,33.8,0,0,0
SYS-0300,3.3,24,0,0,0,751,8.5,42.0,0,0,0
SYS-0301,2.98,69,2,0,0,1831,8.9,24.9,0,0,0
SYS-0302,2.61,10,0,0,0,2084,8.6,29.2,1,1,1
SYS-0303,3.15,20,1,0,0,2773,4.0,21.3,0,0,0
SYS-0304,2.91,76,1,0,0,1368,6.8,34.3,0,0,0
SYS-0305,3.25,115,1,0,0,1837,7.8,38.9,1,1,1
SYS-0306,3.1,57,1,0,0,1422,5.0,32.9,0,0,0
SYS-0307,2.66,109,2,1,0,1435,3.4905934697881857,32.3,1,1,1
SYS-0308,3.03,63,4,1,0,868,1.8245551504197863,31.0,1,4,1
SYS-0309,2.88,86,5,0,0,2151,9.4,31.5,1,4,1
SYS-0310,2.94,58,0,0,0,1754,9.9,27.7,0,0,0
SYS-0311,2.86,104,2,0,1,772,6.8,30.3,0,0,0
SYS-0312,3.25,80,1,0,0,504,6.7,24.4,0,0,0
SYS-0313,2.95,124,1,0,0,304,5.8,27.0,0,0,0
SYS-0314,2.68,21,0,1,0,1656,7.2,29.6,1,1,1
SYS-0315,2.72,66,0,0,0,1357,6.4,36.2,0,0,0
SYS-0316,2.94,36,3,1,0,1831,7.1,27.6,0,0,0
SYS-0317,2.84,137,5,1,1,2655,0.49471784322303747,28.8,1,4,1
SYS-0318,2.66,60,2,0,0,2455,2.7,26.5,1,1,1
SYS-0319,3.06,167,0,0,0,379,1.0,27.4,0,0,0
SYS-0320,2.98,10,6,1,0,1596,8.9,24.1,1,4,1
SYS-0321,2.73,38,1,0,0,1597,8.6,35.2,0,0,0
SYS-0322,3.14,55,4,1,0,2207,5.9,25.8,0,0,0
SYS-0323,2.55,89,1,0,0,930,7.7,34.5,1,1,1
SYS-0324,3.04,72,5,0,0,479,0.8087884108220206,31.7,1,4,1
SYS-0325,3.22,69,4,0,0,439,9.4,29.9,0,0,0
SYS-0326,3.14,95,0,0,0,893,3.2,36.1,0,0,0
SYS-0327,3.14,6,0,0,0,1935,9.3,41.6,1,1,1
SYS-0328,3.0,91,0,1,0,899,9.8,27.6,0,0,0
SYS-0329,2.9,96,0,0,0,1156,3.9,33.2,0,0,0
SYS-0330,2.45,123,5,1,0,1921,1.687209682044465,28.6,1,4,1
SYS-0331,2.85,48,0,0,0,1329,7.3,29.3,0,0,0
SYS-0332,3.06,5,1,1,0,1223,6.9,37.2,0,0,0
SYS-0333,3.02,133,8,1,0,2893,2.351027291483099,31.4,1,4,1
SYS-0334,3.3,146,2,0,1,1920,7.6,29.5,1,1,1
SYS-0335,3.05,22,1,0,0,2240,6.3,36.4,0,0,0
SYS-0336,3.07,29,0,0,0,2124,8.7,32.1,0,0,0
SYS-0337,3.25,81,2,0,0,1800,7.9,32.1,1,1,1
SYS-0338,3.03,31,5,1,1,815,1.357614113533642,33.5,1,4,1
SYS-0339,3.29,75,2,0,0,1983,7.9,42.1,1,1,1
SYS-0340,2.86,62,0,1,0,2931,5.6,35.8,0,0,0
SYS-0341,2.75,31,3,1,0,2902,2.696250779885951,29.5,1,4,1
SYS-0342,3.3,69,2,0,0,2886,4.4,26.2,0,0,0
SYS-0343,2.65,126,0,0,0,592,7.6,32.9,1,1,1
SYS-0344,2.62,3,2,0,0,567,4.0,29.3,1,4,1
SYS-0345,3.17,77,2,0,0,1478,2.4,29.3,0,0,0
SYS-0346,3.0,144,4,1,1,2705,5.03220520160037,19.4,1,4,1
SYS-0347,3.25,76,4,0,0,2889,6.9,25.1,0,0,0
SYS-0348,3.19,57,1,1,0,1846,8.1,37.8,1,1,1
SYS-0349,3.13,87,2,0,0,600,3.6,34.6,0,0,0
SYS-0350,3.16,30,3,0,0,2077,1.6,29.6,1,4,1
SYS-0351,2.56,100,2,0,1,1702,8.6,33.8,1,1,1
SYS-0352,2.89,69,1,0,0,1881,2.8,36.2,0,0,0
SYS-0353,2.75,83,7,0,1,1640,5.139563990784374,28.8,1,4,1
SYS-0354,3.08,27,0,0,0,1845,6.9,33.8,0,0,0
SYS-0355,2.72,115,4,0,0,1461,4.0,30.7,1,4,1
SYS-0356,2.7,49,0,0,0,225,1.3,39.4,0,0,0
SYS-0357,3.3,109,5,0,0,2993,10.003740930656859,39.8,1,1,1
SYS-0358,3.22,168,4,0,0,429,4.809465272216882,36.2,1,4,1
SYS-0359,2.69,57,6,1,1,386,0.3,27.2,1,4,1
SYS-0360,3.22,42,0,0,0,2409,8.6,35.9,1,1,1
SYS-0361,3.3,66,1,1,0,1366,3.9,29.5,0,0,0
SYS-0362,2.71,66,1,0,0,2426,5.0,43.1,0,0,0
SYS-0363,3.3,101,3,1,0,1956,2.4,30.7,1,4,1
SYS-0364,2.61,20,4,0,1,409,6.0,27.7,1,4,1
SYS-0365,2.72,55,1,0,0,2663,1.5,26.4,0,0,0
SYS-0366,2.74,64,0,0,0,2362,1.6,43.7,0,0,0
SYS-0367,3.3,28,7,1,0,2891,2.69082549028117,28.9,1,4,1
SYS-0368,2.9,103,0,0,0,2316,5.1,32.0,0,0,0
SYS-0369,2.99,34,1,0,0,2912,6.4,42.0,0,0,0
SYS-0370,2.98,88,0,0,0,659,2.1,31.0,0,0,0
SYS-0371,2.85,43,0,0,0,1503,9.6,24.9,0,0,0
SYS-0372,3.07,110,1,0,0,2535,9.7,26.1,1,1,1
SYS-0373,2.78,99,3,0,0,2870,3.3,30.7,1,4,1
SYS-0374,2.7,1,1,1,0,995,9.7,33.7,0,0,0
SYS-0375,2.75,55,4,0,1,1640,6.2,28.8,1,4,1
SYS-0376,2.99,50,2,0,0,1522,9.2,31.1,0,0,0
SYS-0377,2.82,168,4,1,0,627,2.155736489302727,39.8,1,4,1
